"player_name","team","gp","min_mpg","orpm","orpm_percentile","drpm","drpm_percentile","rpm","rpm_percentile","wins","wins_percentile","wins_value","wins_value_percentile","salary","salary_percentile","salary_surplus","salary_surplus_percentile","surplus","value"
"Ignas Brazdeikis, SF",NY,9,5.9,-0.71,0.6171171171,-0.66,0.740990991,-1.37,0.7635135135,-0.01,0.6734234234,-27186.96828,0.6734234234,898310,0.9166666667,720678.0791,0.9166666667,-747865.0474,0.2635135135
"Justin Robinson, PG",WSH,9,5.4,-0.97,0.713963964,-0.38,0.5630630631,-1.35,0.759009009,-0.01,0.6734234234,-27186.96828,0.6734234234,898310,0.9166666667,720678.0791,0.9166666667,-747865.0474,0.2635135135
"Cheick Diallo, PF",PHX,44,10.6,-0.02,0.3626126126,-0.35,0.5427927928,-0.38,0.4684684685,0.21,0.527027027,570926.334,0.527027027,1678854,0.7072072072,1346877.22,0.7072072072,-775950.8864,0.2725225225
"Jalen McDaniels, PF",CHA,16,18.3,-1.17,0.8153153153,-0.04,0.4189189189,-1.21,0.7117117117,-0.03,0.7117117117,-81560.90485,0.7117117117,898310,0.9166666667,720678.0791,0.9166666667,-802238.9839,0.2747747748
"Jakob Poeltl, C",SA,58,16.6,0.4,0.2612612613,-0.24,0.5022522523,0.16,0.3355855856,0.79,0.3220720721,2147770.494,0.3220720721,3754886,0.4887387387,3012394.418,0.4887387387,-864623.9236,0.277027027
"Alfonzo McKinnie, SF",CLE,40,14.8,-0.06,0.3828828829,-0.67,0.7545045045,-0.73,0.5698198198,0.12,0.5608108108,326243.6194,0.5608108108,1500000,0.8243243243,1203389.831,0.8243243243,-877146.2111,0.2792792793
"Fred VanVleet, SG",TOR,48,35.8,0.73,0.1959459459,0.33,0.2612612613,1.07,0.1463963964,2.43,0.1126126126,6606433.293,0.1126126126,9346153,0.277027027,7498043.65,0.277027027,-891610.3566,0.2815315315
"Luke Kennard, SG",DET,28,32.9,0.16,0.3153153153,0.16,0.3400900901,0.32,0.2905405405,0.79,0.3220720721,2147770.494,0.3220720721,3827160,0.4842342342,3070376.949,0.4842342342,-922606.4547,0.2837837838
"Admiral Schofield, SG",WSH,27,10.9,-0.66,0.5945945946,-0.62,0.731981982,-1.29,0.740990991,-0.05,0.7432432432,-135934.8414,0.7432432432,1000000,0.9121621622,802259.887,0.9121621622,-938194.7284,0.286036036
"Enes Kanter, C",BOS,51,17.5,0.69,0.204954955,0.09,0.3581081081,0.78,0.1801801802,1.06,0.259009009,2881818.638,0.259009009,4767000,0.4189189189,3824372.881,0.4189189189,-942554.2432,0.2882882883
"Avery Bradley, PG",LAL,49,24.2,-1.44,0.8873873874,1.71,0.03153153153,0.27,0.3040540541,1.04,0.2635135135,2827444.702,0.2635135135,4767000,0.4189189189,3824372.881,0.4189189189,-996928.1798,0.2905405405
"Grayson Allen, SG",MEM,30,16.6,1.2,0.1351351351,-1.21,0.8941441441,-0.01,0.3671171171,0.35,0.4527027027,951543.89,0.4527027027,2429400,0.6058558559,1949010.169,0.6058558559,-997466.2795,0.2927927928
"Norvel Pelle, SF",PHI,20,8.9,-1.91,0.9481981982,-1.52,0.9279279279,-3.43,0.9932432432,-0.28,0.8423423423,-761235.112,0.8423423423,350189,0.9954954955,280942.5876,0.9954954955,-1042177.7,0.295045045
"Jevon Carter, PG",PHX,50,15.1,-1.59,0.9076576577,0.62,0.1936936937,-0.97,0.6328828829,0.03,0.6126126126,81560.90485,0.6126126126,1416852,0.8468468468,1136683.525,0.8468468468,-1055122.621,0.2972972973
"Kyle O'Quinn, C",PHI,26,9.9,0.75,0.1869369369,-1.21,0.8941441441,-0.46,0.4977477477,0.09,0.5720720721,244682.7146,0.5720720721,1620564,0.7297297297,1300113.492,0.7297297297,-1055430.777,0.2995495495
"Moritz Wagner, SF",WSH,37,19.1,0.32,0.2837837838,-0.91,0.8333333333,-0.58,0.5202702703,0.22,0.5225225225,598113.3023,0.5225225225,2063520,0.6463963964,1655479.322,0.6463963964,-1057366.02,0.3018018018
"Dejounte Murray, PG",SA,58,24.9,-0.27,0.4572072072,-0.46,0.6261261261,-0.73,0.5698198198,0.29,0.481981982,788422.0803,0.481981982,2321735,0.6216216216,1862634.859,0.6216216216,-1074212.779,0.3040540541
"Michael Kidd-Gilchrist, SF",DAL/CHA,21,11,-2.1,0.9572072072,-0.38,0.5630630631,-2.48,0.9481981982,-0.22,0.8108108108,-598113.3023,0.8108108108,595122,0.9707207207,477442.5085,0.9707207207,-1075555.811,0.3063063063
"Josh Okogie, SG",MIN,62,25,-0.58,0.5472972973,-0.12,0.4481981982,-0.7,0.5630630631,0.35,0.4527027027,951543.89,0.4527027027,2530680,0.5945945946,2030263.051,0.5945945946,-1078719.161,0.3085585586
"Timothe Luwawu-Cabarrot, SG",BKN,39,17.2,-1.22,0.8243243243,-0.26,0.509009009,-1.48,0.795045045,-0.21,0.7995495495,-570926.334,0.7995495495,654469,0.963963964,525054.226,0.963963964,-1095980.56,0.3108108108
"Chimezie Metu, PF",SA,16,4.6,-0.52,0.5337837838,-0.39,0.5765765766,-0.91,0.6148648649,0.01,0.6306306306,27186.96828,0.6306306306,1416852,0.8468468468,1136683.525,0.8468468468,-1109496.557,0.3130630631
"Iman Shumpert, SG",BKN,13,18.5,-0.79,0.6441441441,-0.2,0.4797297297,-0.99,0.6373873874,0.01,0.6306306306,27186.96828,0.6306306306,1419138,0.8445945946,1138517.492,0.8445945946,-1111330.523,0.3153153153
"Dragan Bender, SF",GS/MIL,16,17.9,-0.33,0.472972973,-0.29,0.5225225225,-0.62,0.5337837838,0.08,0.5833333333,217495.7463,0.5833333333,1678854,0.7072072072,1346877.22,0.7072072072,-1129381.474,0.3175675676
"Thanasis Antetokounmpo, SF",MIL,18,5.2,-0.14,0.4076576577,-0.83,0.8153153153,-0.97,0.6328828829,0,0.6396396396,0,0.6396396396,1445697,0.8333333333,1159824.712,0.8333333333,-1159824.712,0.3198198198
"Khyri Thomas, SG",DET,8,7.6,-0.8,0.6509009009,-0.5,0.6554054054,-1.3,0.7454954955,-0.01,0.6734234234,-27186.96828,0.6734234234,1416852,0.8468468468,1136683.525,0.8468468468,-1163870.494,0.3220720721
"Alize Johnson, PF",IND,13,4.2,-1.04,0.7454954955,-0.28,0.5202702703,-1.32,0.75,-0.01,0.6734234234,-27186.96828,0.6734234234,1416852,0.8468468468,1136683.525,0.8468468468,-1163870.494,0.3220720721
"Melvin Frazier Jr., SG",ORL,15,3.4,-0.69,0.6103603604,-0.55,0.6936936937,-1.24,0.7184684685,-0.01,0.6734234234,-27186.96828,0.6734234234,1416852,0.8468468468,1136683.525,0.8468468468,-1163870.494,0.3220720721
"JaKarr Sampson, SF",IND,26,13.1,-1.08,0.7635135135,0.21,0.3130630631,-0.87,0.6013513514,0.04,0.6013513514,108747.8731,0.6013513514,1620564,0.7297297297,1300113.492,0.7297297297,-1191365.618,0.3288288288
"Isaiah Roby, SF",OKC,3,3.7,-0.9,0.6891891892,-0.48,0.6396396396,-1.38,0.768018018,0,0.6396396396,0,0.6396396396,1500000,0.8243243243,1203389.831,0.8243243243,-1203389.831,0.3310810811
"Jarred Vanderbilt, PF",DEN/MIN,11,4.2,-1.33,0.8693693694,-0.73,0.7792792793,-2.07,0.9144144144,-0.03,0.7117117117,-81560.90485,0.7117117117,1416852,0.8468468468,1136683.525,0.8468468468,-1218244.43,0.3333333333
"Rodions Kurucs, SF",BKN,39,12.8,-0.59,0.5540540541,-0.31,0.5315315315,-0.9,0.6103603604,0.05,0.5968468468,135934.8414,0.5968468468,1699236,0.7027027027,1363228.881,0.7027027027,-1227294.04,0.3355855856
"Nigel Williams-Goss, PG",UTAH,9,3.1,-1.38,0.8783783784,-0.25,0.5045045045,-1.62,0.8288288288,-0.01,0.6734234234,-27186.96828,0.6734234234,1500000,0.8243243243,1203389.831,0.8243243243,-1230576.799,0.3378378378
"Bruno Caboclo, SF",HOU/MEM,27,8.1,-0.49,0.5202702703,0.04,0.3761261261,-0.44,0.4954954955,0.09,0.5720720721,244682.7146,0.5720720721,1845301,0.6891891892,1480410.972,0.6891891892,-1235728.257,0.3400900901
"Willy Hernangomez, C",CHA,31,12.1,-0.05,0.3783783784,-0.8,0.8018018018,-0.85,0.5990990991,0.04,0.6013513514,108747.8731,0.6013513514,1676735,0.713963964,1345177.232,0.713963964,-1236429.359,0.3423423423
